word,x,y
<UNK>,117.985855,-110.22905
say,0.31119367,-1.0002474
first,1.3497969,-0.068161905
test,-1.7288404,0.15328245
team,-0.6182922,1.8831272
match,-0.748175,0.45531565
cricket,0.642308,0.85369605
england,-0.3804366,0.44883394
pakistan,-0.6319766,0.4160086
play,-0.18943739,-1.2038107
world,-1.2340324,-0.45658386
two,0.38968462,0.109332465
run,-0.2838798,0.38765404
make,0.29344094,-1.50288
ball,-1.3608359,1.2348106
take,-0.46450305,-1.1376839
wicket,-0.8248635,0.6342779
one,0.5404106,-0.04170486
captain,0.18355761,-0.018402519
second,0.857279,-0.21754375
four,0.022356259,0.1999619
last,0.6099611,0.18686865
three,0.8057413,0.5534445
player,-0.007677473,1.3184652
win,-0.2005516,0.18795952
also,0.13550249,0.700217
year,-0.7032374,0.3107153
game,-0.7004501,0.7433689
new,1.0339581,0.500733
india,-0.1545941,0.64641696
time,-1.2075946,0.74740213
get,-0.001834647,-0.5313081
international,-1.4378215,0.23566368
six,0.34821945,0.7913366
series,-0.45432898,-0.084658705
go,-0.20342374,-0.38168535
score,-0.29573375,-0.24496259
final,0.08986065,0.35496315
would,-0.40060413,0.3231503
day,-1.9644473,0.83643425
come,-0.12436059,-0.77737767
well,-0.05272069,0.83705944
sri,5.746,-1.1751486
australia,-0.9258849,0.45518234
bowler,-0.7723043,1.2197051
good,0.16906069,0.5836804
side,-0.91756034,1.5712367
start,-0.10875973,0.13242698
back,-0.19927806,0.30712587
lanka,-3.4019713,-0.5993417
give,-0.24335884,-0.79304385
south,1.1708221,-1.6128341
twenty,0.7445592,1.4632602
mohammad,0.5892021,-0.78829104
tournament,-1.2496276,0.3650572
cup,1.3344762,1.7849298
zealand,-2.0735106,2.7584982
five,0.88771623,0.1751512
lead,1.2774731,-1.0584097
lose,-0.75934374,-0.8817477
west,-3.5819044,-2.5175283
could,-0.20989181,0.63038576
third,1.2408732,0.04141103
ali,0.6726323,1.8950537
set,-0.9551504,-0.14032878
see,-0.011824249,-0.5727951
khan,-1.0233096,0.3261245
