word,x,y
<UNK>,16.20775,3.1165652
say,16.943909,3.4588172
first,16.094696,2.766482
test,16.413212,2.983782
team,16.400105,2.9727204
match,16.295187,2.7669973
cricket,16.404587,3.510301
england,16.416088,2.7900174
pakistan,16.955534,2.5708039
play,16.114004,2.677546
world,16.27904,2.8077483
two,15.923039,2.7897866
run,16.420141,2.109478
make,16.652822,2.5072005
ball,16.46218,2.6090314
take,16.208817,2.9516938
wicket,16.979317,3.0767143
one,15.957715,2.9647558
captain,16.521833,2.6895852
second,16.230581,2.7992852
four,15.917429,2.560318
last,16.32203,2.3672013
three,16.775215,3.2887807
player,16.584965,2.9885693
win,17.301802,4.6331615
also,16.080383,2.609157
year,17.42831,2.5513203
game,16.165243,2.8155487
new,15.486807,2.732297
india,15.471601,2.9322934
time,16.32073,2.7468243
get,16.420784,2.759033
international,16.586946,2.9670055
six,16.11638,2.100027
series,16.01316,3.2768307
go,16.423216,3.9320142
score,16.262897,3.0210717
final,16.36321,2.7233777
would,16.246195,3.1459482
day,16.37715,3.324596
come,16.267202,3.6307724
well,15.931376,3.7369044
sri,13.423785,4.3635287
australia,16.705439,2.2429564
bowler,14.900766,1.0489365
good,17.703648,2.2454803
side,17.853914,3.1252093
start,15.621123,2.528105
back,16.070843,2.6211147
lanka,16.383135,1.9334049
give,15.946239,3.0301008
south,16.225386,3.3216069
twenty,16.548355,3.0730886
mohammad,16.395004,1.9417194
tournament,16.040691,2.9292195
cup,20.390505,-5.382978
zealand,15.694211,3.0758932
five,15.984454,2.7886636
lead,16.312605,2.7096603
lose,15.8873625,2.842313
west,17.111362,4.1284947
could,16.135286,4.985509
third,14.641541,2.8337405
ali,16.162405,2.5386484
set,17.409578,1.6674205
see,17.788942,2.535691
khan,16.76432,2.2783659
amir,16.920544,2.0831404
not,16.107895,3.0608654
th,19.823751,6.210906
bowl,15.754877,3.1651468
innings,16.056923,2.035935
early,16.501808,5.202769
yearold,17.054712,4.796371
africa,18.726295,2.0037768
top,15.545577,3.9190273
end,15.97173,3.3334863
batsman,19.820513,2.5044315
add,14.745544,1.4833206
bat,15.350028,3.882647
home,14.834186,2.9880521
indie,16.344944,2.2919545
tell,16.45161,1.9107431
open,16.527962,3.5162275
leave,18.851637,5.1701455
over,16.804604,2.9400005
champion,16.325191,3.203373
board,18.632599,3.8083258
victory,15.59533,2.5820882
group,16.507202,3.5394166
coach,16.089766,4.0083566
league,16.386496,3.1235068
look,14.817923,2.7419436
former,16.673737,2.9553773
since,16.529701,3.9447606
united,15.248703,0.7032445
catch,16.635626,9.362185
include,15.934786,3.170161
next,17.567852,3.8917875
follow,14.44197,4.0981717
return,17.98499,3.0797615
need,16.603487,10.926123
tour,16.25341,1.6110908
host,15.646922,2.5637045
title,15.430326,2.3919725
do,16.858408,3.6641867
goal,12.180819,0.2592591
icc,14.7707,3.1936207
place,16.751245,3.3977828
de,17.801563,1.928431
minute,15.642915,2.8614137
help,15.882965,3.3484797
beat,15.787411,2.5947425
hit,15.423984,2.3784614
fast,15.38221,1.912108
month,15.500579,2.4023762
stadium,16.809998,2.635205
number,21.452307,5.1430144
reach,15.188383,-5.883511
put,18.202698,2.2563798
become,16.724108,2.4519112
sport,15.550311,2.5017014
like,17.39118,0.2012963
great,15.913247,3.0220964
point,16.32024,3.0083916
week,16.825533,2.2227783
record,15.190427,1.8438379
bangladesh,16.285849,1.5685143
national,13.641423,2.0502326
face,15.115369,5.189385
indian,17.962889,5.4503026
defeat,15.050483,2.2496228
hope,13.30729,0.22200008
seven,14.578833,2.277258
think,20.002474,3.3038433
ban,15.467389,4.0615015
show,16.028444,2.409796
want,15.711391,3.5380158
work,15.51793,4.1829715
fourth,14.696745,3.070516
eight,16.138838,1.9229027
big,17.106226,0.10691831
man,16.050892,2.384993
hold,15.793935,3.6876163
head,15.242042,3.59908
we,16.32919,2.5983267
injury,15.528498,3.6900826
opener,15.380824,2.6476798
squad,15.874574,3.1663046
know,14.242613,2.600653
olympic,16.50649,4.7796946
bring,16.831331,3.204611
fall,15.865378,1.9352787
country,15.415869,2.791391
opening,16.525122,2.3683848
toss,20.40821,5.078209
break,15.220334,3.7635393
pcb,16.857931,1.4767945
stand,15.543743,4.0497694
remain,14.874307,2.5520606
chance,14.454794,1.3916214
high,16.193005,2.0876436
another,14.755524,3.0085993
keep,15.43767,2.7212934
way,16.976719,3.456759
target,15.52889,4.823416
cook,15.236816,1.588162
claim,14.721584,1.9752363
finish,15.474649,0.9328882
long,15.359676,3.295667
fan,16.070904,4.5980515
later,15.8985815,2.2168272
still,15.320067,2.774838
club,14.207528,2.6220345
spinner,17.197664,6.3866487
sunday,15.971034,2.4087334
century,15.909192,-0.31151843
bowling,15.59096,2.6735444
lot,16.77227,3.7421846
total,16.565918,1.1688226
friday,15.00643,3.9299612
james,20.530405,0.90391874
miss,15.6541195,2.0406604
